SKU,RMSE,MAPE,Aug_Prediction,Sep_Prediction,Oct_Prediction,Total_Q3
VIT-C-1000,31.561716346273908,9.333869339278865,428.6922297782778,371.4185363346427,337.77991925184904,1137.8906853647695
OMEGA-3-500,36.7077582694306,9.673790065450929,349.16568692980644,348.7016437651253,348.88637266032106,1046.7537033552528
PROBIO-10B,16.359638686583406,4.361608003751966,345.0468907697158,349.15341687310325,348.2636654115933,1042.4639730544125
VIT-D-5000,55.007889343975286,16.130803632002905,360.82257149986975,374.156213889685,380.54620625183276,1115.5249916413875
CALCIUM-MAG,54.37771270407692,11.285378725726831,445.95182674102244,443.2392835313392,443.07224162880357,1332.2633519011652
ZINC-15,29.96134632283766,6.047860686167298,459.99983759052014,459.99983759022706,459.99983759022706,1379.9995127709742
COLLAGEN-1K,81.64888856739371,19.477540615299734,339.13038696305506,338.51158432032634,338.5740463986512,1016.2160176820325
LUTEIN-20,45.44835565788876,12.234855731900623,323.6820790655763,321.583289202893,321.11055296498085,966.3759212334501
IRON-18,14.239583518306555,3.6831564963427503,322.8204490092706,306.64001265110863,298.5042086177972,927.9646702781764
MULTI-VIT,62.48235882685069,16.966472597629977,386.97208837340634,364.17166436809424,375.2390738196258,1126.3828265611264
